#tam_pop = 50
#probabilidad_mutacion = 0.01
#funcion_cruza = cruza_un_punto
#funcion_seleccion = seleccion_por_torneo
#iteraciones = 300

#variable aptitud_promedio_población aptitud_promedio_mejor_individuo promedio_iteraciones promedio_duración
0.1 48.35802813652196 49.997419463274355 83 10.421944744626666
0.1125 48.33493277366563 49.997538252022885 83 10.44579189181
0.125 48.35365033076375 49.997545054958536 84 10.647685795996667
0.1375 48.33639074103828 49.99747316291213 78 10.692458541046667
0.15 48.346197046420784 49.997517689475245 78 10.604528836506667
0.1625 48.37051200396122 49.99754165349071 84 10.938707125653334
0.175 48.3713220530435 49.997564088660404 75 10.923764382043334
0.1875 48.409528718063214 49.99752474116937 72 11.145422935196667
0.2 48.28994176422919 49.99755176287639 83 11.264229644643333
0.2125 48.2725925937943 49.997474691757915 79 11.351440065386667
0.225 48.389207302617855 49.99761260922608 78 11.547118736313333
0.2375 48.32324302067365 49.997393970413114 72 11.687109004616667
0.25 48.33381605330816 49.99757360551133 81 11.540230059513332
